City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kismayo,SO,-0.3582,42.5454,76.59,79,80,14.0,broken clouds
80,Drakino,RU,51.139,39.4021,28.44,91,100,2.48,overcast clouds
81,Roma,US,43.2128,-75.4557,48.72,82,100,1.01,overcast clouds
82,Ayr,GB,55.4627,-4.6339,45.48,93,75,24.16,broken clouds
83,San Patricio,US,28.017,-97.5169,62.89,86,0,9.91,clear sky
84,Caxito,AO,-8.5785,13.6643,70.11,92,96,3.2,overcast clouds
85,Korem,ET,12.5058,39.5228,48.42,88,4,2.39,clear sky
86,Avera,US,33.194,-82.5271,54.54,65,0,6.49,clear sky
87,Krasnoselkup,RU,65.7,82.4667,-10.64,84,2,10.42,clear sky
88,Vrises,GR,35.492,23.8899,56.19,71,83,5.03,broken clouds
89,Cape Town,ZA,-33.9258,18.4232,66.88,83,0,11.5,clear sky
90,Yozgat,TR,39.5833,35.3333,15.42,85,4,2.44,clear sky
91,Constitucion,CL,-35.3333,-72.4167,61.36,50,0,5.41,clear sky
92,Carnarvon,AU,-24.8667,113.6333,89.67,62,3,14.97,clear sky
93,Bereda,ES,43.2686,-7.5406,45.14,100,84,0.56,broken clouds
94,Bonthe,SL,7.5264,-12.505,75.49,94,21,3.96,few clouds
95,Tuatapere,NZ,-46.1333,167.6833,56.82,57,85,11.97,overcast clouds
96,Naze,JP,28.3667,129.4833,56.32,77,93,9.26,overcast clouds
97,Sarahan,IN,31.5167,77.8,37.36,40,0,10.04,clear sky
98,Avenal,US,36.0041,-120.129,60.1,42,9,3.29,clear sky
99,Severo-Kurilsk,RU,50.6789,156.125,27.45,75,95,9.17,overcast clouds
100,Hasaki,JP,35.7333,140.8333,50.29,47,91,8.75,overcast clouds
101,Issoire,FR,45.55,3.25,27.66,89,26,4.0,scattered clouds
102,Severo-Yeniseyskiy,RU,60.3725,93.0408,-4.0,88,6,1.81,clear sky
103,Meulaboh,ID,4.1363,96.1285,82.87,66,89,2.84,overcast clouds
104,Ribeira Grande,PT,38.5167,-28.7,59.99,77,83,13.04,broken clouds
105,Caboolture,AU,-27.0833,152.95,81.1,59,46,12.33,light rain
106,Pedernales,DO,18.0384,-71.744,76.77,60,0,6.24,clear sky
107,Klaksvik,FO,62.2266,-6.589,43.72,95,100,28.3,overcast clouds
108,Hamilton,US,39.1834,-84.5333,42.98,89,100,4.61,overcast clouds
109,Pokhara,NP,28.2333,83.9833,58.51,39,0,4.12,clear sky
110,Bayangol,RU,50.6977,103.4656,-3.37,76,86,0.83,overcast clouds
111,Tezu,IN,27.9167,96.1667,61.81,63,98,1.63,overcast clouds
112,Nantucket,US,41.2835,-70.0995,46.96,91,0,5.75,clear sky
113,Mamallapuram,IN,12.6264,80.1722,84.25,59,9,14.47,clear sky
114,Qaanaaq,GL,77.484,-69.3632,-23.06,50,0,6.91,clear sky
115,Hithadhoo,MV,-0.6,73.0833,81.18,70,96,8.57,overcast clouds
116,Bandundu,CD,-3.3167,17.3667,73.09,91,95,2.62,light rain
117,Talnakh,RU,69.4865,88.3972,-10.17,84,98,9.71,overcast clouds
118,Bluff,NZ,-46.6,168.3333,56.8,60,58,16.91,broken clouds
119,Codrington,AU,-38.2667,141.9667,77.54,45,5,14.88,clear sky
120,Viedma,AR,-40.8135,-62.9967,58.51,44,1,8.28,clear sky
121,Namatanai,PG,-3.6667,152.4333,83.16,73,74,0.6,light rain
122,Rocha,UY,-34.4833,-54.3333,67.82,96,97,2.53,overcast clouds
123,Kahului,US,20.8947,-156.47,77.02,70,20,6.91,few clouds
124,Lucapa,AO,-8.4192,20.7447,63.32,97,97,0.47,overcast clouds
125,Tasiilaq,GL,65.6145,-37.6368,12.36,64,95,3.67,overcast clouds
126,Kindu,CD,-2.95,25.95,68.85,97,100,4.5,overcast clouds
127,Parczew,PL,51.6402,22.9006,34.41,85,100,17.78,light snow
128,Egvekinot,RU,66.3167,-179.1667,-20.76,87,10,8.55,clear sky
129,Manakara,MG,-22.1333,48.0167,75.94,87,28,3.11,scattered clouds
130,Saint-Philippe,RE,-21.3585,55.7679,81.1,69,64,5.68,broken clouds
131,Saldanha,ZA,-33.0117,17.9442,60.85,94,70,10.49,broken clouds
132,Yellowknife,CA,62.456,-114.3525,-12.48,77,100,0.0,light snow
133,Paciran,ID,-6.8767,112.3761,79.11,84,100,9.26,overcast clouds
134,Faanui,PF,-16.4833,-151.75,82.22,70,100,13.42,overcast clouds
135,Cidreira,BR,-30.1811,-50.2056,73.92,84,0,18.54,clear sky
136,Homer,US,59.6425,-151.5483,30.79,82,100,13.0,overcast clouds
137,Hami,CN,42.8,93.45,29.35,69,100,6.89,overcast clouds
138,Kailua,US,21.4022,-157.7394,76.48,69,100,6.91,overcast clouds
139,Harrison,US,30.4091,-89.0436,52.05,96,0,5.75,mist
140,Kamenka,RU,51.3223,42.7678,28.74,96,100,5.55,overcast clouds
141,Baykit,RU,61.67,96.37,0.86,88,9,1.32,clear sky
142,Tiksi,RU,71.6872,128.8694,-9.17,92,89,17.87,overcast clouds
143,Thinadhoo,MV,0.5333,72.9333,81.3,71,43,6.55,scattered clouds
144,Mironeasa,RO,46.9667,27.4167,36.43,81,100,16.49,light snow
145,Iguape,BR,-24.7081,-47.5553,74.48,76,70,5.7,broken clouds
146,Nagato,JP,34.3833,131.2,54.19,53,63,11.9,broken clouds
147,Ngunguru,NZ,-35.6167,174.5,77.16,91,92,21.43,overcast clouds
148,Victoria,HK,22.2855,114.1577,74.97,82,18,5.99,few clouds
149,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,19,0,8.05,clear sky
150,Sibut,CF,5.718,19.0739,69.39,25,37,4.16,scattered clouds
151,Broken Hill,AU,-31.95,141.4333,83.91,21,0,8.05,clear sky
152,Igarka,RU,67.4667,86.5833,-14.22,90,17,7.23,few clouds
153,San Quintin,MX,30.4833,-115.95,62.46,51,0,2.19,clear sky
154,Staunton,US,38.1496,-79.0717,54.52,41,0,10.36,clear sky
155,Inirida,CO,3.8653,-67.9239,74.43,84,95,1.81,overcast clouds
156,Mandali,IQ,33.7499,45.5541,52.95,67,73,4.74,broken clouds
