City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Saint-Leu,RE,80.56,broken clouds,-21.15,55.2833,La Caz Oceane
295,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
296,Gizo,SB,83.16,overcast clouds,-8.103,156.8419,Imagination Island
301,Isangel,VU,87.91,scattered clouds,-19.55,169.2667,Tanna Lodge
304,Vaitape,PF,82.0,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
306,Cockburn Town,TC,77.49,clear sky,21.4612,-71.1419,Osprey Beach Hotel
308,Calabozo,VE,79.05,scattered clouds,8.9242,-67.4293,Hotel Giardini
311,Ahipara,NZ,76.73,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
329,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
333,Biak,ID,79.29,overcast clouds,-0.9131,122.8766,Penginapan Kim
335,Tsabong,BW,75.0,few clouds,-26.0217,22.401,Springbok Motel
345,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
356,Port Hueneme,US,77.86,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
358,Natal,BR,80.82,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
359,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
361,Da Nang,VN,80.65,scattered clouds,16.0678,108.2208,Sun River Hotel
363,Itarema,BR,77.0,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
369,Mapalad,PH,89.01,overcast clouds,15.4333,121.1,Antonino's Transient
373,Catuday,PH,83.53,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
379,Eyl,SO,75.85,overcast clouds,7.9803,49.8164,Amiin Hotel
382,Pochutla,MX,77.85,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
396,Fare,PF,81.52,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
398,Byron Bay,AU,78.91,broken clouds,-28.65,153.6167,Backpackers Inn
404,Dingle,PH,83.64,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
407,Pozo Colorado,PY,81.84,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
413,Lorengau,PG,82.33,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
415,Sao Filipe,CV,79.34,overcast clouds,14.8961,-24.4956,Hotel Xaguate
416,Padang,ID,89.65,overcast clouds,-0.9492,100.3543,Mercure Padang
418,Mananjary,MG,78.22,broken clouds,-21.2167,48.3333,Vahiny Lodge
423,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
426,Parkes,AU,85.35,clear sky,-33.1333,148.1833,Station Motel
431,Beltangadi,IN,81.23,scattered clouds,13.9833,75.3,Sathkar INN
436,Puerto Colombia,CO,80.69,few clouds,10.9878,-74.9547,Hotel El Emigrante
437,Honiara,SB,78.39,overcast clouds,-9.4333,159.95,Heritage Park Hotel
439,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
443,Pyapon,MM,88.77,clear sky,16.2833,95.6833,Aung Naing Thu Motel
460,Noumea,NC,84.18,light rain,-22.2763,166.4572,Hôtel Le Lagon
462,Omboue,GA,76.89,overcast clouds,-1.5746,9.2618,Hotel Olako
464,Pangai,TO,82.81,clear sky,-19.8,-174.35,Ha'apai Beach Resort
466,Juba,SS,78.19,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
480,Vanimo,PG,79.02,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
481,Sambava,MG,77.32,few clouds,-14.2667,50.1667,Melrose
483,Nabire,ID,79.7,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
487,Bubaque,GW,78.42,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
492,Cap Malheureux,MU,82.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
