City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Atar,MR,2022-02-06 17:15:31,20.5169,-13.0499,91.49,6,0,6.93
68,Presidencia Roque Saenz Pena,AR,2022-02-06 17:15:31,-26.7852,-60.4388,85.19,28,6,10.2
69,Abnub,EG,2022-02-06 17:15:32,27.2696,31.1511,59.43,39,0,8.14
70,Katsuura,JP,2022-02-06 17:15:32,35.1333,140.3,37.51,44,12,10.42
71,Bonavista,CA,2022-02-06 17:15:32,48.6499,-53.1147,17.11,68,100,25.46
72,Kruisfontein,ZA,2022-02-06 17:11:18,-34.0033,24.7314,77.88,67,64,10.22
73,Atuona,PF,2022-02-06 17:15:10,-9.8,-139.0333,78.67,74,10,20.47
74,Hobart,AU,2022-02-06 17:15:17,-42.8794,147.3294,54.05,84,28,5.75
75,Avarua,CK,2022-02-06 17:15:33,-21.2078,-159.775,75.25,94,40,8.05
76,Jagdalpur,IN,2022-02-06 17:15:33,19.0667,82.0333,61.36,26,11,1.72
77,Castro,BR,2022-02-06 17:15:20,-24.7911,-50.0119,77.34,69,76,8.86
78,Marawi,PH,2022-02-06 17:15:34,7.9986,124.2928,66.65,89,77,2.59
79,Champerico,GT,2022-02-06 17:15:34,14.3,-91.9167,90.36,59,12,6.82
80,Hermanus,ZA,2022-02-06 17:15:34,-34.4187,19.2345,73.9,79,7,9.53
81,Dikson,RU,2022-02-06 17:11:19,73.5069,80.5464,-21.78,99,68,8.68
82,Kirakira,SB,2022-02-06 17:15:35,-10.4544,161.9205,80.89,86,100,6.93
83,Yerbogachen,RU,2022-02-06 17:15:35,61.2767,108.0108,-15.66,100,92,2.33
84,Abu Dhabi,AE,2022-02-06 17:11:44,24.4667,54.3667,66.96,61,20,1.99
85,Garissa,KE,2022-02-06 17:15:36,-0.4536,39.6401,90.09,29,100,7.78
86,Oranjemund,NA,2022-02-06 17:15:36,-28.55,16.4333,69.75,64,47,13.73
87,Khatanga,RU,2022-02-06 17:15:37,71.9667,102.5,-22.45,99,95,7.67
88,Savelugu,GH,2022-02-06 17:15:37,9.6244,-0.8253,97.61,9,1,5.01
89,Port Keats,AU,2022-02-06 17:15:37,-14.25,129.55,79.05,84,92,3.53
90,Tuatapere,NZ,2022-02-06 17:15:38,-46.1333,167.6833,39.81,92,3,3.83
91,Mataura,NZ,2022-02-06 17:16:38,-46.1927,168.8643,39.47,99,3,2.01
92,Raiganj,IN,2022-02-06 17:16:38,25.6167,88.1167,61.61,62,15,2.06
93,Victoria,HK,2022-02-06 17:15:12,22.2855,114.1577,62.26,81,100,7.0
94,Jamestown,US,2022-02-06 17:15:26,42.097,-79.2353,30.29,40,0,8.01
95,Cavalcante,BR,2022-02-06 17:16:39,-13.7975,-47.4583,71.83,88,100,3.8
